question_id,question,category,label_status,baseline_top5_sources,baseline_coverage,baseline_dup_ratio,optimized_top5_sources,optimized_coverage,optimized_dup_ratio,relevant_files,error,baseline_hit5,baseline_recall5,optimized_hit5,optimized_recall5
q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,matched,zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na,5,0.0,zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na,5,0.0,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,,1,1.0,1,1.0
q002,深度学习模型中哪些使用了血流声音作为输入信号？,深度学习狭窄识别,matched,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,2,0.6,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis,4,0.19999999999999996,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,,1,0.25,1,0.5
q003,不同深度学习模型（CNN、ResNet、ViT）在AVF狭窄检测中的性能如何对比？,深度学习狭窄识别,matched,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,3,0.4,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,5,0.0,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md,,1,0.25,1,0.75
q004,多位置或多通道血流声音融合对狭窄检测准确率有什么提升？,多通道融合,matched,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,1,0.8,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; 2019 vascular stenosis detection using temporal spectral differences in correlated acoustic,3,0.4,Liu 等 - 2025 - Novel fusion architecture of multi-location blood flow sounds for arteriovenous fistula stenosis dia.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md;2019-Vascular_Stenosis_Detection_Using_Temporal-Spectral_Differences_in_Correlated_Acoustic.md,,1,0.25,1,0.5
q005,血流声音的时频分析方法（STFT、小波变换、S变换）在AVF分析中如何应用？,时频分析,matched,hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,2,0.6,hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; 2019 vascular stenosis detection using temporal spectral differences in correlated acoustic; grochowina 等 2019 an application of wavelet transform for non invasive evaluation of arteriovenous fistula state; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,5,0.0,Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md,,1,0.25,1,0.75
q006,Mel频谱或Log-Mel特征在血管声音分析中如何生成和使用？,时频分析,matched,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning,3,0.4,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,5,0.0,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,,1,0.6667,1,1.0
q007,传统机器学习方法（k-NN、随机森林、RBF神经网络）在AVF状态分类中的效果如何？,传统机器学习,matched,song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; grochowina 等 2019 an application of wavelet transform for non invasive evaluation of arteriovenous fistula state; grochowina 等 2019 an application of wavelet transform for non invasive evaluation of arteriovenous fistula state,4,0.19999999999999996,song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; grochowina 等 2019 an application of wavelet transform for non invasive evaluation of arteriovenous fistula state; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,5,0.0,Grochowina和Leniowska - 2016 - The new method of the selection of features for the k-NN classifier in the arteriovenous fistula sta.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Yeh_等_-_2022_-_Development_and_validation_of_machine_learning_models_to_classify_artery_stenosis_for_automated_gene.md,,1,0.5,1,0.5
q008,人工特征（样本熵、波形特征等）在血管声音分类中如何选择和提取？,传统机器学习,matched,ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis,4,0.19999999999999996,ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,5,0.0,Grochowina和Leniowska - 2016 - The new method of the selection of features for the k-NN classifier in the arteriovenous fistula sta.md;2018-Stenosis_Characterization_and_Identification_for_Dialysis_Vascular_Access.md;2019-Vascular_Stenosis_Detection_Using_Temporal-Spectral_Differences_in_Correlated_Acoustic.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md,,0,0.0,0,0.0
q009,CFD（计算流体动力学）如何模拟血管狭窄产生的血流声音？,CFD与血流动力学,matched,khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; a coupled flow acoustic computational study of bru; ali 等 2023 a cfd fft approach to hemoacoustics that enables degree of stenosis prediction from stethoscopic sig; a coupled flow acoustic computational study of bru; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l,3,0.4,khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; a coupled flow acoustic computational study of bru; ali 等 2023 a cfd fft approach to hemoacoustics that enables degree of stenosis prediction from stethoscopic sig; ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery,5,0.0,Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md;Khalili_等_-_2018_-_A_coupled_CFD-FEA_study_of_the_sound_generated_in_a_stenosed_artery_and_transmitted_through_tissue_l.md;Ali_等_-_2023_-_A_CFD-FFT_approach_to_hemoacoustics_that_enables_degree_of_stenosis_prediction_from_stethoscopic_sig.md;Zhu_等_-_2019_-_Computational_modeling_and_analysis_of_murmurs_generated_by_modeled_aortic_stenoses.md,,1,0.5,1,0.75
q010,血流动力学参数（流速、压力、壁面剪切应力）与狭窄程度的关系是什么？,CFD与血流动力学,matched,fbioe 08 00846; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula; 2018 stenosis characterization and identification for dialysis vascular access; 2019 vascular stenosis detection using temporal spectral differences in correlated acoustic; fbioe 08 00846,4,0.19999999999999996,fbioe 08 00846; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula; 2018 stenosis characterization and identification for dialysis vascular access; 2019 vascular stenosis detection using temporal spectral differences in correlated acoustic; ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel,5,0.0,Zhu_等_-_2018_-_Computational_modelling_and_analysis_of_haemodynamics_in_a_simple_model_of_aortic?stenosis.md;Ali_等_-_2023_-_A_CFD-FFT_approach_to_hemoacoustics_that_enables_degree_of_stenosis_prediction_from_stethoscopic_sig.md;Khalili_等_-_2021_-_Spectral_decomposition_of_the_flow_and_characterization_of_the_sound_signals_through_stenoses_with_d.md;Ozden_等_-_2020_-_Effect_of_stenosis_shape_on_the_sound_emitted_from_a_constricted_blood_vessel.md,,0,0.0,1,0.3333
q011,流固耦合（FSI）方法在血管狭窄声音产生研究中如何应用？,CFD与血流动力学,matched,a coupled flow acoustic computational study of bru; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; a coupled flow acoustic computational study of bru; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery,2,0.6,a coupled flow acoustic computational study of bru; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; zhu 等 2019 computational modeling and analysis of murmurs generated by modeled aortic stenoses,5,0.0,"Khalili_等_-_2018_-_A_coupled_CFD-FEA_study_of_the_sound_generated_in_a_stenosed_artery_and_transmitted_through_tissue_l.md;Salman和Yazicioglu_-_2017_-_Flow-induced_vibration_analysis_of_constricted_artery_models_with_surrounding_soft_tissue.md;Yazicioglu_等_-_Acoustic_radiation_from_a_fluid-filled,_subsurface_vascular_tube_with_internal_turbulent_flow_due_to_a.md;Numerical_simulation_of_the_fluid_structure_interactions_in_a_compliant_patientspecific_arteriovenous_fistula.md",,0,0.0,1,0.5
