question_id,question,relevant_files,category,notes
q001,哪些研究使用深度学习识别动静脉瘘狭窄？,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,深度学习狭窄识别,人工标注：4篇均直接以AVF听诊或血流声音训练深度学习模型。
q002,深度学习模型中哪些使用了血流声音作为输入信号？,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,深度学习狭窄识别,人工标注：均明确将血流声音转换为频谱图等表示后输入深度网络。
q003,不同深度学习模型（CNN、ResNet、ViT）在AVF狭窄检测中的性能如何对比？,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md,深度学习狭窄识别,人工标注：覆盖CNN/CRNN、ResNet、DenseNet/EfficientNet与ViT的直接实验比较。
q004,多位置或多通道血流声音融合对狭窄检测准确率有什么提升？,Liu 等 - 2025 - Novel fusion architecture of multi-location blood flow sounds for arteriovenous fistula stenosis dia.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md;2019-Vascular_Stenosis_Detection_Using_Temporal-Spectral_Differences_in_Correlated_Acoustic.md,多通道融合,人工标注：涵盖五位置融合、位置元数据、16通道阵列及多点相关声学测量。
q005,血流声音的时频分析方法（STFT、小波变换、S变换）在AVF分析中如何应用？,Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md,时频分析,人工标注：分别直接使用STFT、小波变换、S变换及STFT生成Mel频谱。
q006,Mel频谱或Log-Mel特征在血管声音分析中如何生成和使用？,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,时频分析,人工标注：3篇均说明Mel或Log-Mel频谱的生成及其作为深度模型输入的用法。
q007,传统机器学习方法（k-NN、随机森林、RBF神经网络）在AVF状态分类中的效果如何？,Grochowina和Leniowska - 2016 - The new method of the selection of features for the k-NN classifier in the arteriovenous fistula sta.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Yeh_等_-_2022_-_Development_and_validation_of_machine_learning_models_to_classify_artery_stenosis_for_automated_gene.md,传统机器学习,人工标注：覆盖k-NN、RBF神经网络及随机森林，并报告分类效果。
q008,人工特征（样本熵、波形特征等）在血管声音分类中如何选择和提取？,Grochowina和Leniowska - 2016 - The new method of the selection of features for the k-NN classifier in the arteriovenous fistula sta.md;2018-Stenosis_Characterization_and_Identification_for_Dialysis_Vascular_Access.md;2019-Vascular_Stenosis_Detection_Using_Temporal-Spectral_Differences_in_Correlated_Acoustic.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md,传统机器学习,人工标注：涉及包络/频带特征、14项听觉特征、时频相关特征与小波特征选择。
q009,CFD（计算流体动力学）如何模拟血管狭窄产生的血流声音？,Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md;Khalili_等_-_2018_-_A_coupled_CFD-FEA_study_of_the_sound_generated_in_a_stenosed_artery_and_transmitted_through_tissue_l.md;Ali_等_-_2023_-_A_CFD-FFT_approach_to_hemoacoustics_that_enables_degree_of_stenosis_prediction_from_stethoscopic_sig.md;Zhu_等_-_2019_-_Computational_modeling_and_analysis_of_murmurs_generated_by_modeled_aortic_stenoses.md,CFD与血流动力学,人工标注：涵盖流场求解、壁面压力声源、组织传播及CFD-FFT/耦合声学流程。
q010,血流动力学参数（流速、压力、壁面剪切应力）与狭窄程度的关系是什么？,Zhu_等_-_2018_-_Computational_modelling_and_analysis_of_haemodynamics_in_a_simple_model_of_aortic?stenosis.md;Ali_等_-_2023_-_A_CFD-FFT_approach_to_hemoacoustics_that_enables_degree_of_stenosis_prediction_from_stethoscopic_sig.md;Khalili_等_-_2021_-_Spectral_decomposition_of_the_flow_and_characterization_of_the_sound_signals_through_stenoses_with_d.md;Ozden_等_-_2020_-_Effect_of_stenosis_shape_on_the_sound_emitted_from_a_constricted_blood_vessel.md,CFD与血流动力学,人工标注：直接分析流速、压力波动、涡结构及狭窄严重度/形态与声学响应的关系。
q011,流固耦合（FSI）方法在血管狭窄声音产生研究中如何应用？,"Khalili_等_-_2018_-_A_coupled_CFD-FEA_study_of_the_sound_generated_in_a_stenosed_artery_and_transmitted_through_tissue_l.md;Salman和Yazicioglu_-_2017_-_Flow-induced_vibration_analysis_of_constricted_artery_models_with_surrounding_soft_tissue.md;Yazicioglu_等_-_Acoustic_radiation_from_a_fluid-filled,_subsurface_vascular_tube_with_internal_turbulent_flow_due_to_a.md;Numerical_simulation_of_the_fluid_structure_interactions_in_a_compliant_patientspecific_arteriovenous_fistula.md",CFD与血流动力学,人工标注：覆盖CFD-FEA、血管壁振动、周围组织耦合和患者特异AVF流固耦合。
q012,声音在人体组织中的传播模型有哪些？如何影响体表听诊信号？,Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md;Khalili_等_-_2018_-_A_coupled_CFD-FEA_study_of_the_sound_generated_in_a_stenosed_artery_and_transmitted_through_tissue_l.md;Hession和Mccormack_-_2023_-_Modelling_the_acoustic_transmission_of_biological_tissue_at_low_frequencies.md;Tommasin_等_-_2019_-_Physics_of_within-tissue_wave_propagation_generated_by_pulse_propagation_in_the_carotid_artery.md,声音传播与组织建模,人工标注：包含结构波方程、CFD-FEA组织层、低频组织传输与血管脉搏诱发组织波。
q013,低频声音在胸腔和血管周围组织中的传播特性是什么？,Pandia_等_-_2010_-_Physical_modeling_of_low-frequency_sound_propagation_through_human_thoracic_tissue.md;Narasimhan_等_-_2004_-_A_high_resolution_computer_model_for_sound_propagation_in_the_human_thorax_based_on_the_visible_huma.md;Wodicka_等_-_1989_-_A_model_of_acoustic_transmission_in_the_respiratory_system.md;Hession和Mccormack_-_2023_-_Modelling_the_acoustic_transmission_of_biological_tissue_at_low_frequencies.md,声音传播与组织建模,人工标注：集中讨论低频声在胸廓、肺实质及生物组织中的共振、衰减和传递。
q014,无创血管听诊技术使用了哪些传感器和采集方法？,2018-SKIN-COUPLED_PVDF_MICROPHONES_FOR_NONINVASIVE_VASCULAR_BLOOD_SOUND.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;2019-Vascular_Stenosis_Detection_Using_Temporal-Spectral_Differences_in_Correlated_Acoustic.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md,听诊与血管声音采集,人工标注：覆盖皮肤耦合PVDF、多通道阵列、无线/数字听诊器和柔性麦克风阵列。
q015,PVDF麦克风在血管声音采集中有什么优势？,2018-SKIN-COUPLED_PVDF_MICROPHONES_FOR_NONINVASIVE_VASCULAR_BLOOD_SOUND.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md,听诊与血管声音采集,人工标注：直接讨论PVDF/柔性换能阵列的灵敏度、频响、贴肤耦合及多通道优势。
q016,动静脉瘘的数值建模方法有哪些？如何模拟真实瘘管几何？,动静脉瘘建模.md;Numerical_simulation_of_the_fluid_structure_interactions_in_a_compliant_patientspecific_arteriovenous_fistula.md,动静脉瘘建模,人工标注：两篇分别建立临床数据驱动三维AVF模型和患者特异顺应性FSI模型。
q017,Korotkoff声音的产生机制是什么？与血管狭窄有何关联？,Baranger_等_-_2023_-_The_fundamental_mechanisms_of_the_korotkoff_sounds_generation.md;Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md,CFD与血流动力学,人工标注：前者揭示Korotkoff声的组织剪切振动机制，后者用于对照固定狭窄杂音的流声机制。
q018,血管杂音（bruit）的声学特征如何用于狭窄程度预测？,Ali_等_-_2023_-_A_CFD-FFT_approach_to_hemoacoustics_that_enables_degree_of_stenosis_prediction_from_stethoscopic_sig.md;2018-Stenosis_Characterization_and_Identification_for_Dialysis_Vascular_Access.md;Khalili_等_-_2021_-_Spectral_decomposition_of_the_flow_and_characterization_of_the_sound_signals_through_stenoses_with_d.md;Venugopal_等_-_2020_-_Computational_modeling_of_carotid_bruits.md,听诊与血管声音采集,人工标注：覆盖主频-狭窄线性关系、谱质心、严重度分解及break frequency。
q019,超声传播模型在血管成像和血流检测中如何应用？,Shishlenin_等_-_2024_-_Nonlinear_medical_ultrasound_tomography_3D_modeling_of_sound_wave_propagation_in_human_tissues.md;Fernandes_等_-_2025_-_Experimental_validation_of_time-explicit_ultrasound_propagation_models_with_sound_diffusivity_or_vis.md;Yeh_等_-_2022_-_Development_and_validation_of_machine_learning_models_to_classify_artery_stenosis_for_automated_gene.md,声音传播与组织建模,人工标注：包含三维超声传播、组织衰减模型及多普勒血流动力学特征用于狭窄识别。
q020,透析血管通路的狭窄特征识别和监测方法有哪些？,Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md,AVF状态监测,人工标注：代表S变换/RBF、小波/k-NN、深度学习及多通道硬件监测路线。
q021,颈动脉杂音和动静脉瘘杂音在声学特征上有什么异同？,Venugopal_等_-_2020_-_Computational_modeling_of_carotid_bruits.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;2018-Stenosis_Characterization_and_Identification_for_Dialysis_Vascular_Access.md,听诊与血管声音采集,人工标注：用颈动脉杂音模型与AVF临床/台架声学研究对照频谱、音调和时相特征。
q022,深度学习模型中数据增强和预处理方法对AVF分类性能有什么影响？,Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md,深度学习狭窄识别,人工标注：直接涉及SMOTE/增强、频谱分辨率、滤波与STFT、噪声剔除及Log-Mel预处理。
q023,不同狭窄形状（轴对称、非对称）对血流声音产生有什么影响？,Ozden_等_-_2020_-_Effect_of_stenosis_shape_on_the_sound_emitted_from_a_constricted_blood_vessel.md;Venugopal_等_-_2020_-_Computational_modeling_of_carotid_bruits.md;Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md,CFD与血流动力学,人工标注：直接比较狭窄形态、轴对称/非对称几何及单侧收缩对压力波动与杂音的影响。
q024,AVF狭窄检测中如何避免患者间数据泄漏？训练集和测试集如何划分？,Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md,模型性能与实验对比,人工标注：包含患者隔离划分、独立测试/交叉验证，以及增强后无外部测试集等泄漏风险信息。
q025,目前已发表的AVF狭窄检测方法中，哪种方法的灵敏度和特异度最高？,Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Liu 等 - 2025 - Novel fusion architecture of multi-location blood flow sounds for arteriovenous fistula stenosis dia.md,模型性能与实验对比,人工标注：均报告灵敏度/特异度或可比诊断指标；Song还汇总对比既往14项研究。
