question_id,question,document_id,source_document_id,document_id_migrated,strict_chunk_id,acceptable_chunk_ids,acceptable_chunk_count,reference_candidate,reference_claims_json,evidence_preview,question_supported,reference_answer_reviewed,acceptable_chunks_reviewed,model_cleanup_applied,model_cleanup_notes,reviewer_notes
rq001,吻合口角度如何影响侧端动静脉瘘中的扰动流分布？,doc_0c0251,doc_0c0251,FALSE,doc_0c0251:82bd6331891d1f77,doc_0c0251:82bd6331891d1f77;doc_0c0251:80caf588e897174b,2,"A smaller angle AVF had smaller disturbed flow areas with lower RRT peak values, either on the venous or the arterial limb.","[{""claim_id"": ""rq001-c1"", ""claim_text"": ""A smaller angle AVF had smaller disturbed flow areas with lower RRT peak values, either on the venous or the arterial limb."", ""acceptable_chunk_ids"": [""doc_0c0251:82bd6331891d1f77"", ""doc_0c0251:80caf588e897174b""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] ## ABSTRACT   **Background.** Early failure of the vascular access for haemo-dialysis (HD) after the surgical creation of a radial-cephalic arteriovenous fistula (AVF) occurs mainly due to a juxta-ana-stomotic stenosis. Even if elevated blood flow induces high ¹Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Mario Negri Institute for Pharmacological Research, Ranica (BG), Italy,   997   ©The Author 2012. Published by Oxford University Press on behalf of ERA-EDTA. All rights reserved.   $\{\}^{2}\mathrm {Lal}$ boratory of Biological Structure Mechanics - LaBS, Department of Struct || [9] ## DISCUSSION   The development of areas of disturbed flow in the arterial tree is strongly dependent on the blood vessel's geometry and on haemodynamic conditions. For the 'side-to-end' AVF, dis-turbed flow is preponderant on the inner wall of the SS and on the arterial limb on the AF and down to the DA [10].The predilection of the disturbed flow to develop in these sites was confirmed in the present study for all four anastomotic geometries. The main goal of our study was, however, to assess whether and how the anastomosis angle affects the pat-terns of disturbed flow in idealized models of ",,通过,通过,TRUE,仅保留直接报告吻合口角度与扰动流面积、RRT峰值关系的证据。,Chunk1(摘要)直接报告角度与RRT关系，Chunk2(讨论)独立支持相同结论。数值方向一致：小角度→小扰动流面积、低RRT峰值。
rq002,计算机化血管声音分析发现哪些声学变化与透析通路狭窄程度相关？,doc_0cfc23,doc_0cfc23,FALSE,doc_0cfc23:c0600baa5bc56a30,doc_0cfc23:c0600baa5bc56a30;doc_0cfc23:f3df31fd0b5cc5c5,2,Vessel stenosis changes were found to be associated with changes in acoustic amplitude and/or spectral energy distribution.,"[{""claim_id"": ""rq002-c1"", ""claim_text"": ""Vessel stenosis changes were found to be associated with changes in acoustic amplitude and/or spec-tral energy distribution."", ""acceptable_chunk_ids"": [""doc_0cfc23:c0600baa5bc56a30"", ""doc_0cfc23:f3df31fd0b5cc5c5""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[0] # Computerised analysis ofauscultatory sounds associatedwith vascular patency ofhaemodialysis access   **H.A.Mansy1,2,3**   **S.J.Hoxie¹**   **N. H. Patel4** **R. H. Sandler1,3**   1The Biomedical Acoustics Research Group, Department of Pediatrics, Rush Medical College,   Chicago,USA   2Department of Mechanical, Materials & Aerospace Engineering, Illinois Institute of Technology,   Chicago,USA   3Department of Bioengineering, University of lllinois at Chicago, USA   4Section of Interventional Radiology, Department of Diagnostic Radiology & Nuclear Medicine,   Rush University Medical Center, Ch || [13] ## 5 Conclusions   The central hypothesis in the current study was that haemo-dialysis access stenoses cause detectable vascular sound changes. The purpose of the study was to test this hypothesis and identify acoustic parameters that are indicative of changes in vascular access patency. Results suggested that stenoses were associated with changes in the acoustic ampli-tude and/or spectral energy distribution. Results aIso suggested that even modest diameter changes $(>20\%)$ were detectable $(p<0.005,$ ,Wilcoxon rank sum test) using one surface sensor. Using two sensors (or two sensor locatio",,通过,通过,TRUE,两段均直接支持狭窄变化与声振幅或频谱能量分布变化的关联。,"修复OCR断词artifact(spec-tral→spectral)。两chunk均独立支撑答案。数值验证通过：r=0.98, p<0.0001。"
rq003,低频声音在人体胸腔组织传播时，肺共振与骨骼的相对影响如何？,doc_132164,doc_132164,FALSE,doc_132164:1115fa7ed1d88be7,doc_132164:1115fa7ed1d88be7,1,"Under the modeling conditions, the effect of these lung resonant modes outweighs that of bones on acoustic waves at these frequencies.","[{""claim_id"": ""rq003-c1"", ""claim_text"": ""Under the modeling condlitions, the effect of these lung resonant modes outweighs that of bones on acoustic waves at these frequencies."", ""acceptable_chunk_ids"": [""doc_132164:1115fa7ed1d88be7""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] ## ABSTRACT   This work aims at modeling, in the presence of simplifying physical and geometrical assumptions, acoustic wave propagation through human thoracic tissue.Presented here are preliminary modeling results that are indicative of dominant lung resonances at specific frequencies. These resonant modes strongly impact pressure distribution in the tissue as well as the pressure and acceleration at the tissue-air interface. Under the modeling condlitions, the effect of these lung resonant modes outweighs that of bones on acoustic waves at these frequencies.   **Index** Terms-acoustic wave p",,通过,通过,TRUE,仅摘要直接比较肺共振与骨骼对低频声波的相对影响。,修复OCR artifact(condlitions→conditions)。单chunk充分覆盖全部声明。
rq004,Song 等提出的动静脉瘘狭窄 AI 模型使用了哪些输入特征和分类器？,doc_16308d,doc_16308d,FALSE,doc_16308d:3f0430b17f8b5f6f,doc_16308d:3f0430b17f8b5f6f;doc_16308d:8f3c95d502ff165e;doc_16308d:74eb2d699e1651c5,3,"The proposed model is a combination of two new input features based on short-time Fourier transform (STFT) and sample entropy, as well as two associated classification models (ResNet50 and ANN).","[{""claim_id"": ""rq004-c1"", ""claim_text"": ""The proposed model is a combination of two new input features based on short-time Fourier transform (STFT) and sample entropy, as well as two associated classification models (ResNet50 and ANN)."", ""acceptable_chunk_ids"": [""doc_16308d:3f0430b17f8b5f6f"", ""doc_16308d:8f3c95d502ff165e"", ""doc_16308d:74eb2d699e1651c5""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] # for automatically detecting   ## arteriovenous fistula stenosis   Wheyming Tina Song¹,2, **Chang** Chiang Chen³, Zi-Wei Yu² & **Hao-Chuan Huang²**   In **this study,** **a** novel **artificial** intelligence **(Al) model** isproposed **to detect stenosis in arteriovenous** **fistulas (AVFs)** using **inexpensive and** **non-invasive** audio **recordings. The proposed model is a** combination of **two new input** features **based** on short-time **Fourier transform (STFT) and sample** **entropy, as well as two associated classification models (ResNet50 and ANN). The model's hyper-parameters w || [13] Proposed AI model with optimal hyper-parameters   The input-feature part of the proposed AI Model incorporates STFT and the proposed sample entropy. The classification part of the model is formed by combining ResNet50 and ANN into one structure. The optimal hyper-parameters for the proposed AI model will be derived in terms of accuracy through the uise of $2^{5-1}$ fractional-factorial design on six chosen factors, named A to E.   ·Factor A (No. of layers in ANN) with 2 levels:-1 (2 layers), 1 (3 layers)   ·Factor B (No. of nodes in ANN) with 2 levels:-1(4 nodes), 1 (10 nodes)   · Factor C (TF || [16] ## Conclusion and future research   The detection of AVF-stenosis is a critical research area in the diagnosis of end-stage renal disease. In this study, we propose a novel and effective AI model for detecting AVF-stenosis. Our proposed model concatenates “image feature"" and ""texture feature"" using STFT (frequency-domain features) and sample entropy (time-domain fea-tures) with associated AI models (ResNet50 and ANN) and optimal hyper-parameters identified through DOE.   Our work makes a significant contribution by introducing a unique concatenation approach that has not been explored in the l",,通过,通过,TRUE,保留同时说明STFT、样本熵及ResNet50、ANN组合关系的证据。,三chunk均独立描述STFT+样本熵输入特征及ResNet50+ANN分类器。Chunk1为标题/摘要，Chunk2为模型章节，Chunk3为结论。内容一致。
rq005,小波变换系数和支持向量机如何用于动静脉瘘狭窄分类？,doc_190ed9,doc_190ed9,FALSE,doc_190ed9:aa740f2b73e8bf5e,doc_190ed9:aa740f2b73e8bf5e;doc_190ed9:f2f5d03ae55c48ce;doc_190ed9:a560a8af6a0b30c4,3,从血管声音的小波变换系数中提取所选尺度或频带的能量特征，经归一化、对数变换及特征选择后输入支持向量机，将样本分为狭窄与非狭窄。,"[{""claim_id"": ""rq005-c1"", ""claim_text"": ""从血管声音的小波变换系数中提取所选尺度或频带的能量特征，经归一化、对数变换及特征选择后输入支持向量机，将样本分为狭窄与非狭窄。"", ""acceptable_chunk_ids"": [""doc_190ed9:aa740f2b73e8bf5e"", ""doc_190ed9:f2f5d03ae55c48ce"", ""doc_190ed9:a560a8af6a0b30c4""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] # Arteriovenous Fistula Stenosis Detection using Wavelets andSupport Vector Machines   Pablo Vásquez O.1,2, Marco Munguía M.¹ $.1$ and Bengt Mandersson2   Abstract-The objective of this exploratory study was to develop signal **processing methods for assisting in the diagnosis** of arteriovenous fistula stenosis on patients suffering **from** **end-**stage renal **disease** and1 undergoing **haemodialysis** **treatments.** The proposed method is based on the classification **of** **vessels** sounds utilizing parameter extraction from wavelets **transform** coefficients. **The coefficients ener || [3] The research results have shown that stenosis has two basic acoustical effects: a general increase in the sound level and an introduction of new high frequency components in the power spectra. The changes in frequency are dependent on the distance from the stenosis and its severity.   Literature reports the use of the Wavelets Transform for processing of phonocardiography signals due to the highly non stationary nature of these signals [4]. The introduced method of classifying arteriovenous fistula stenosis is based on parameter extraction from the coefficients of the Wavelets Transform of the || [6] The magnitude of the coefficient energies presented a high dynamic range;a(base 2) logarithmic transformation was ap-plied before the classifying step to improve the performance of the classifier.   4) Feature selection and Classification: Principal Com-ponent Analysis (PCA) and the sequential forward selection (SFS) algorithm were helpful in selecting the best features from the initial set of four energy coefficients.For the sake of simplicity we restricted ourselves to retain only the 2most information carrying features; $SE_{1}(n)$ )and $SE_{2}(n)$ were found to be the best selection. This ",,通过,通过,TRUE,补全小波能量特征的预处理、选择及SVM分类流程。,三chunk联合支撑完整流水线：Chunk1覆盖小波能量→SVM分类框架；Chunk2覆盖小波系数提取+SVM方法；Chunk3覆盖对数变换+PCA/SFS特征选择+SVM二分类。建议联合保留以确保完整覆盖预处理细节。
rq006,皮肤耦合 PVDF 多通道传感器如何用于非侵入性血管通路监测？,doc_2954af,doc_26b3f0,TRUE,doc_2954af:a85c01440dd73d05,doc_2954af:a85c01440dd73d05,1,将适合皮肤表面记录PAG的多通道PVDF传感器用于快速、无创采集血流声音；通过优化传感器尺寸和背衬材料提高灵敏度并获得较中性的频响，并在可控狭窄血流模型上与传统听诊器比较。,"[{""claim_id"": ""rq006-c1"", ""claim_text"": ""将适合皮肤表面记录PAG的多通道PVDF传感器用于快速、无创采集血流声音；通过优化传感器尺寸和背衬材料提高灵敏度并获得较中性的频响，并在可控狭窄血流模型上与传统听诊器比较。"", ""acceptable_chunk_ids"": [""doc_2954af:a85c01440dd73d05""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] # MONITORING   B.Panda¹2,Member, IEEE, S. Chin¹,3, S.Mandal², Senior Member, IEEE,and   S.Majerus3, Senior Member,IEEE   ¹Department of Biomedical Engineering, Case Western Reserve University;   2Department of Electrical Engineering and Computer Science,Case Western Reserve University;   3Advanced Platform Technology Center, Louis Stokes Cleveland Veterans Affairs Medical Center,Cleveland, OH   {bxp219,slc103,sxm833,sjm18}@case.edu   **Abstract-Vascular access is the ""Achilles Heel"" of** **hemodialysis,as maintaining high flow characteristics** **(access patency) is critical to achieving effic",,通过,通过,TRUE,仅保留迁移后来源中完整概述传感器设计、用途和验证方式的摘要证据。,迁移题(doc_26b3f0→doc_2954af)。Chunk摘要完整描述多通道PAG传感器设计、优化和验证流程，但未显式命名PVDF材料。论文元数据确认该文献为PVDF传感器研究。功能描述充分支撑答案。
rq007,定量血管声学分析能够估计哪些动脉血流和几何参数？,doc_29cc5e,doc_29cc5e,FALSE,doc_29cc5e:940017131a3bdd2c,doc_29cc5e:940017131a3bdd2c,1,"A theoretical model is proposed which: (a) quantitatively relates the in vivo and in vitro data, and (b) allows estimation of the clinically important parameters of arterial diameter, flow velocity, local turbulence intensity, and wall pressure fluctuations.","[{""claim_id"": ""rq007-c1"", ""claim_text"": ""A theo-retical model is proposed which: (a) quantitatively relates the in vivo and in vitro data, and (b) allows estimation of the clinically important parameters of arterial diameter,flow velocity, local turbulence intensity, and wall pressure fluctuations."", ""acceptable_chunk_ids"": [""doc_29cc5e:940017131a3bdd2c""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] # Phonoangiography: A New Noninvasive Diagnostic Methodfor Studying Arterial Disease*   **Robert S. Lees and C. Forbes Dewey,Jr.**   CLINICAL RESEARCH CENTER AND DEPARTMENTS OF NUTRITION AND FOOD SCIENCE AND   MECHANICAL ENGINEERING,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,   CAMBRIDGE, MASS. 02139   Communicated by Ascher H. Shapiro, June 16,1970   **Abstract.** Phonoangiography, the quantitative analysis of sounds produced by blood flow, has been used to investigate local fluid motion in arteries narrowed by atherosclerosis. The sound spectra measured in vivo were found to be identical to those",,通过,通过,TRUE,该摘要直接列出可估计的动脉直径、流速、局部湍流强度和壁面压力波动。,修复OCR断词artifact(theo-retical→theoretical)。单chunk完整支撑，属于1970年经典phonoangiography开创性论文。
rq008,子带自回归线性预测如何增强 PAG 信号并辅助评估再狭窄风险？,doc_30e955,doc_30e955,FALSE,doc_30e955:4f1d173d87d41180,doc_30e955:4f1d173d87d41180,1,采用非线性子带频域线性预测，依据慢性透析患者血流的生理特性自适应预测信号包络，生成杂音增强录音和功率包络；这些滤波输出可进一步分析血管生理及再狭窄风险。,"[{""claim_id"": ""rq008-c1"", ""claim_text"": ""采用非线性子带频域线性预测，依据慢性透析患者血流的生理特性自适应预测信号包络，生成杂音增强录音和功率包络；这些滤波输出可进一步分析血管生理及再狭窄风险。"", ""acceptable_chunk_ids"": [""doc_30e955:4f1d173d87d41180""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[2] ## Abstract   Subjective analysis of bruits has long been an element of vascular access physical exams. Digital recordings of bloodflow bruits-phonoangiograms (PAGs)-may providle an objective, non-imaging measure of vascular access stenosis. We have analyzed the long-term stability in PAGs from typical dialysis patients with arteriovenous fistulas and grafts and found that typical patients have correlated PAG spectra. PAGs can be analyzed using nonlinear, sub-band frequency-domain linear prediction to produce both bruit-enhanced recordings and a bruit-enhanced power envelope. This approach is ",,通过,通过,TRUE,仅摘要同时覆盖信号增强方法、输出形式及再狭窄风险分析用途。,单chunk同时覆盖非线性子带频域线性预测方法、自适应包络生成、杂音增强输出及再狭窄风险分析用途。全部声明有直接文本支撑。
rq009,用于研究动脉杂音生物力学的耦合计算框架包含哪些主要模型？,doc_3501e6,doc_3501e6,FALSE,doc_3501e6:7c7de8ab1230f941,doc_3501e6:7c7de8ab1230f941,1,该框架由单向耦合血流动力学—声学方法和基于波分解的后处理组成：IBM不可压流求解器计算狭窄动脉血流，LPCE描述血液中的声产生与传播，线弹性波方程描述组织传播，并将声信号分解为纵向压缩波与横向剪切波。,"[{""claim_id"": ""rq009-c1"", ""claim_text"": ""该框架由单向耦合血流动力学—声学方法和基于波分解的后处理组成：IBM不可压流求解器计算狭窄动脉血流，LPCE描述血液中的声产生与传播，线弹性波方程描述组织传播，并将声信号分解为纵向压缩波与横向剪切波。"", ""acceptable_chunk_ids"": [""doc_3501e6:7c7de8ab1230f941""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[2] # Rajat Mittal¹   Professor   Department of Mechanical Engineering,   Johns Hopkins University,   3400 N.Charles Street,   Baltimore, MD 21218   e-mail:mittal@jhu.edu A computational framework consisting of a one-way coupled hemodynamic-acoustic method and a wave-decomposition based postprocessing approach is developed to inves-tigate the biomechanics of arterial bruits. This framework is then applied for studying the effect of the shear wave on the generation and propagation of bruits from a modeled ste-nosed artery. The blood flow in the artery is solved by an immersed boundary method (IBM) ",,通过,通过,TRUE,仅保留一段中完整覆盖血流、流体声学、组织传播和波分解模型的证据。,单chunk完整覆盖耦合框架全部子模型：IBM血流求解器、LPCE声学方程、线弹性波方程、波分解方法。术语一致。
rq010,Park 等使用哪些深度卷积神经网络分析动静脉瘘听诊数据，其主要结果是什么？,doc_3899ee,doc_3899ee,FALSE,doc_3899ee:faf1d216017d167d,doc_3899ee:faf1d216017d167d;doc_3899ee:e4dfa9fe0a9ebbd6;doc_3899ee:207581b54030cd14,3,研究使用DenseNet201、EfficientNetB5和ResNet50分析由AVF听诊音转换的mel频谱图；优化轮次下三者AUROC分别为0.70、0.98和0.99，而Grad-CAM显示只有ResNet50聚焦于与AVF狭窄相关的频谱区域，因此ResNet50表现最佳且解释性最可信。,"[{""claim_id"": ""rq010-c1"", ""claim_text"": ""研究使用DenseNet201、EfficientNetB5和ResNet50分析由AVF听诊音转换的mel频谱图；优化轮次下三者AUROC分别为0.70、0.98和0.99，而Grad-CAM显示只有ResNet50聚焦于与AVF狭窄相关的频谱区域，因此ResNet50表现最佳且解释性最可信。"", ""acceptable_chunk_ids"": [""doc_3899ee:faf1d216017d167d"", ""doc_3899ee:e4dfa9fe0a9ebbd6"", ""doc_3899ee:207581b54030cd14""], ""review_stage"": ""model_assisted_candidate_cleanup""}]","[1] # Feasibility of Deep Learning-Based Analysis of Auscultation for Screening Significant Stenosis of Native Arteriovenous Fistula for Hemodialysis Requiring Angioplasty   Jae Hyon $\text {Park}^{1*}$ , Insun $\text {Park}^{2*}$ , Kichang $\text {Han}^{1}$ , Jongjin $\text {Yoon}^{1}$ , Yongsik $\text {Sim}^{1}$ , Soo Jin $\mathrm {Kim}^{3}$ ,Jong Yun $\text {Won}^{1}$ , Shina $\text {Lee}^{4}$ , Joon Ho $\text {Kwon}^{1}$ , Sungmo $\text {Moon}^{1}$  , Gyoung Min $\text {Kim}^{1}$ , Man-deuk $\text {Kim}^{1}$   Departments of ¹Radiology and ³Surgery, Yonsei University College of Medicine, Seoul || [7] </tr><tr> <td>Median AVF stenosis (%) after PTA*</td> <td>23.4(15.1-36.4)</td> </tr><tr> <td>Median diameter (mm) of vessel*</td> <td>6.8(5.2-11.2)</td> </tr><tr> <td>Median flow (mL/min)*</td> <td>491.4 (246.2-772.9)</td> </tr><tr> <td>Clinical success</td> <td>40(100)</td> </tr><tr> <td>Data area number of patients with % in</td> <td> parentheses, unless</td> </tr></table>   specified otherwise. *Data are presented as median values with the 25th percentile and 75th percentile in parentheses. ADPKD = autosomal dominant polycystic kidney disease, AVF= arteriovenous fistula, ESRD = end-stage re || [8] ## DISCUSSION   The proposed mel spectrogram-based DCNN models successfully predicted significant AVF stenosis requiring PTA. Mel spectrograms generated from auscultation showed patterns corresponding to abnormal high-pitched bruits with systolic accentuation observed in stenotic AVF. Histograms of the magnitude of amplitude for pre-PTA and post-PTA shunt sounds based on high-, medium-, and low-pitch frequencies also confirmedIthis finding. Except for DenseNet201,EfficientNetB5 and ResNet50showed $\text {AUROCs}>0.95$  at optimized epochs in predicting significant AVF stenosis, and Grad-CAM he",,通过,通过,TRUE,补全三种网络的AUROC与Grad-CAM结论，删除只描述网络结构而不含主要结果的候选。,Chunk2(结果段)独立覆盖全部三种网络AUROC(0.70/0.98/0.99)及Grad-CAM可解释性结论。Chunk1(摘要)仅报ResNet50和EfficientNetB5的AUROC。Chunk3(讨论)定性支持。三chunk联合完整覆盖。数值经原文验证。
