run_id,question_id,question,category,rank,raw_file_name,normalized_file_name,score,is_relevant,relevant_files,label_status,error
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,1,Zhou_等_-_2023_-_Deep_learning_analysis_of_blood_flow_sounds_to_detect_arteriovenous_fistula_stenosis.md,zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,2,Ota_等_-_2020_-_Evaluation_of_hemodialysis_arteriovenous_bruit_by_deep_learning.md,ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,3,Liu_等_-_2025_-_Novel_fusion_architecture_of_multi-location_blood_flow_sounds_for_arteriovenous_fistula_stenosis_dia.md,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,0,False,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,4,Song_等_-_2023_-_An_effective_AI_model_for_automatically_detecting_arteriovenous_fistula_stenosis.md,song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,5,Park_等_-_2022_-_Feasibility_of_deep_learning-based_analysis_of_auscultation_for_screening_significant_stenosis_of_na.md,park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,6,Park_等_-_2022_-_Feasibility_of_deep_learning-based_analysis_of_auscultation_for_screening_significant_stenosis_of_na.md,park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,7,Zhou_等_-_2023_-_Deep_learning_analysis_of_blood_flow_sounds_to_detect_arteriovenous_fistula_stenosis.md,zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,8,Park_等_-_2022_-_Feasibility_of_deep_learning-based_analysis_of_auscultation_for_screening_significant_stenosis_of_na.md,park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na,0,True,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,9,Liu_等_-_2025_-_Novel_fusion_architecture_of_multi-location_blood_flow_sounds_for_arteriovenous_fistula_stenosis_dia.md,liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,0,False,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
20260715_185026,q001,哪些研究使用深度学习识别动静脉瘘狭窄？,深度学习狭窄识别,10,Grochowina_等_-_2019_-_An_application_of_wavelet_transform_for_non-invasive_evaluation_of_arteriovenous_fistula_state.md,grochowina 等 2019 an application of wavelet transform for non invasive evaluation of arteriovenous fistula state,0,False,Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md,matched,
